movie_id,movie_name,movie_length,movie_lang,release_date,age_certificate,director_id
1,A Clockwork Orange,112,English,1972-02-02,18,13
2,Apocalypse Now,168,English,1979-08-15,15,9
3,Battle Royale,111,Japanese,2001-01-04,18,10
4,Blade Runner,121,English,1982-06-25,15,27
5,Chungking Express,113,Chinese,1996-08-03,15,35
6,City of God,145,Portuguese,2003-01-17,18,20
7,City of Men,140,Portuguese,2008-02-29,15,22
8,Cold Fish,108,Japanese,2010-09-12,18,30
9,Crouching Tiger Hidden Dragon,139,Chinese,2000-07-06,12,15
10,Eyes Wide Shut,130,English,1999-07-16,18,13
11,Forrest Gump,119,English,1994-07-06,PG,36
12,Gladiator,165,English,2000-05-05,15,27
13,Gone with the Wind,123,English,1939-12-15,PG,8
14,Goodfellas,148,English,1990-09-19,15,26
15,Grand Budapest Hotel,117,English,2014-07-03,PG,3
16,House of Flying Daggers,134,Chinese,2004-03-12,12,37
17,In the Mood for Love,124,Chinese,2001-02-02,12,35
18,Jaws,134,English,1975-06-20,12,31
19,Leon,123,English,1994-11-18,15,5
20,Let the Right One In,128,Swedish,2008-10-24,15,1
21,Life of Brian,126,English,1979-08-17,15,12
22,Life of Pi,129,English,2012-11-21,PG,15
23,Mary Poppins,87,English,1964-08-29,U,32
24,Never Let Me Go,117,English,2010-09-15,15,25
25,Oldboy,130,Korean,2005-03-25,18,23
26,Pans Labyrinth,98,Spanish,2006-12-29,PG,7
27,Ponyo,107,Japanese,2009-08-14,U,21
28,Pulp Fiction,136,English,1994-10-14,15,33
29,Raging Bull,132,English,1980-11-14,18,26
30,Rushmore,104,English,1998-11-12,12,3
31,Spider-Man,118,English,2002-05-03,PG,24
32,Spider-Man 2,115,English,2004-06-30,PG,24
33,Spider-Man 3,112,English,2007-05-04,PG,24
34,Spirited Away,120,Japanese,2001-06-19,U,21
35,Star Wars: A New Hope,123,English,1977-05-25,PG,17
36,Star Wars: Empire Strikes Back,150,English,1980-05-21,PG,17
37,Star Wars: Return of the Jedi,139,English,1983-05-25,PG,17
38,Submarine,115,English,2011-06-03,15,4
39,Taxi Driver,117,English,1976-02-07,15,26
40,The Darjeeling Limited,119,English,2007-09-29,PG,3
41,The Fifth Element,149,English,1997-05-09,12,5
42,The Lives of Others,165,German,2007-02-09,15,11
43,The Shining,126,English,1980-05-23,18,13
44,The Sound of Music,91,English,1965-03-02,U,34
45,The Wizard of Oz,120,English,1939-08-25,U,8
46,There Will Be Blood,168,English,2007-12-26,15,2
47,"Three Billboards Outside Ebbing, Missouri",134,English,2017-11-10,15,18
48,Titanic,143,English,1997-12-19,12,6
49,Top Gun,121,English,1986-05-16,12,28
50,Toy Story,95,English,1995-11-22,U,14
51,V for Vendetta,140,English,2006-03-17,12,19
52,Watchmen,138,English,2009-03-06,12,29
53,Way of the Dragon,99,Chinese,1972-06-01,12,16
